中文,EN
腳部練習,FOOT WORK
腳掌分開雙踵併攏,TOES APART HEELS TOGETHER
腳趾抓桿,WRAP TOES ON BAR
雙踵抵在腳踏桿上,HEELS ON BAR
腳尖掂起,HIGH HALF TOE
落踵與提踵,LOWER & LIFT
第二種姿勢,SECOND POSITION
平行,PARALLEL
外旋,LATERALLY ROTATED
內旋,MEDIALLY ROTATED
單腿練習,SINGLE LEG
單腿彎曲,ONE LEG BENT
腳踏車式動作,BICYCLE
單踵練習,SINGLE HEEL
百次拍擊,HUNDRED
屈伸練習,BEND & STRETCH
抬腿與放腿,LIFT & LOWER
伸展內收肌,ADDUCTOR STRETCH
脊椎捲曲準備動作,SHORT SPINE PREP
脊椎捲曲,SHORT SPINE
中背部系列動作,MIDBACK SERIES
下壓肱三頭肌,TRICEPS PRESS
雙臂伸直下壓,STRAIGHT DOWN
四十五度,FORTY-FIVE DEGREES
側展,SIDE
畫圈,CIRCLES
後划準備動作,BACK ROWING PREPS
划船動作,PLOW
分開雙肘,OPEN ELBOWS
飛翔動作,AIRPLANE
二頭肌捲曲,BICEPS CURLS
肱三頭肌,TRICEPS
向後捲動,ROLL-DOWN
向後捲動-二頭肌捲曲,ROLL-DOWN WITH BICEPS CURLS
側旋後捲,ROLL-DOWN WITH OBLIQUES
側坐手臂準備動作,SIDE ARM PREPS SITTING
內旋,INTERNAL ROTATION
外旋,EXTERNAL ROTATION
內收,ADDUCTION
外展,ABDUCTION
側轉坐姿,SIDE TWIST SITTING
前划準備動作,FRONT ROWING PREPS
向前伸直,STRAIGHT FORWARD
雙手上托,OFFERING
腹部按摩,STOMACH MASSAGE
準備動作,PREP
弓背,ROUND BACK
直背,STRAIGHT BACK
雙臂拉動拉環(盒子豎放),ARMS PULLING STRAPS LONG BOX
弓背(盒子橫放),ROUND BACK SHORT BOX
直背(盒子橫放),STRAIGHT BACK SHORT BOX
扭轉(盒子橫放),TWIST SHORT BOX
樹姿(盒子橫放),TREE SHORT BOX
大象姿,ELEPHANT
美人魚姿,MERMAID
雙腿畫弧,LEG CIRCLES
膝部伸展,KNEE STRETCHES
跑步運動,RUNNING
髖部上抬,HIP LIFT
髖部起伏,HIP ROLLS
單側大腿伸展,SINGLE THIGH STRETCH
側劈叉,SIDE SPLITS
